,Title,Published_date,Views,Likes,Comments,Month
0,Programmer or Zookeeper? 🤔🐍🐼 #dataanalysis #datascience #data #shorts,2023-09-03,12440,713,18,Sep
1,Using CHATGPT for DATA ANALYST interview! 🧠💡 #dataanalysis #datascience #data #shorts,2023-09-02,5186,640,4,Sep
2,Nurse👩‍⚕️ to Mom👨‍👩‍👦 to Data Analyst📊 #dataanalysis #datascience #data #shorts,2023-09-01,5474,237,4,Sep
3,Something MORE IMPORTANT than tech skills! 🤔🤯 #dataanalysis #datascience #data #shorts,2023-08-31,5743,448,3,Aug
4,Data Scientist Job-Ready Checklist: Know Where You Stand! 🚀🚀,2023-08-30,8966,435,39,Aug
5,5 Ways SQL is used in Data Industry! #dataanalysis #datascience #data #shorts,2023-08-30,5588,519,5,Aug
6,3 ways to use ChatGPT for data analyst job interview! 👨‍💻  #dataanalysis #datascience #data #shorts,2023-08-29,9973,1085,8,Aug
7,Search Skill OR Memorization Skill? 😕 #dataanalysis #datascience #data #shorts,2023-08-28,6884,609,21,Aug
8,Power BI DAX Tip | Using Variables 💡 #dataanalysis #datascience #data #shorts,2023-08-27,2752,203,0,Aug
9,Power BI DAX Tip | Graceful Division ➗💡  #dataanalysis #investing #data #shorts,2023-08-26,3296,201,6,Aug
10,Data Informed vs. Data Driven Decision Making! 🤔📊  #dataanalysis #datascience  #data #shorts,2023-08-25,3902,274,8,Aug
11,Don't ignore this if you are building a dashboard! 📊✏  #dataanalytics #datascience #data #shorts,2023-08-24,12006,783,6,Aug
12,India is now on the moon🌝#codebasics #chandrayaan3 #chandrayaan3mission #chandrayaan #data #shorts,2023-08-24,4332,298,13,Aug
13,He became a data analyst at age 51! 👨‍⚕️➡📊😲 #dataanalytics #data #datascience #shorts,2023-08-23,7021,418,5,Aug
14,LLM Explained Simply |  What is LLM?,2023-08-22,8500,485,45,Aug
15,Top 5 BI Tools in Market! 📊  #dataanalytics #data #datascience #shorts,2023-08-22,8672,390,9,Aug
16,Should you switch to Polar from Pandas?  #dataanalytics #datascience #data #shorts,2023-08-21,15304,718,13,Aug
17,Confused : Python or SQL? #dataanalytics #data #datascience #shorts,2023-08-20,10404,687,12,Aug
18,5 Dashboarding Tips💡 #shorts #dataanalytics #data #datascience,2023-08-19,3719,290,1,Aug
19,You are missing out on a good friend #shorts #dataanalytics #data #datascience,2023-08-18,7170,547,10,Aug
20,Live Winners & Top 20 Submissions Announcement | Marketing Insights | Challenge#6 | Q & A,2023-08-17,3555,94,6,Aug
21,The Most Critical Underrated Skill for Data Analysts in 2023 | Unveiling the Secret,2023-08-16,10324,431,29,Aug
22,Real-time data project | Present Insights & get recognized by the government of Telangana | RPC#7,2023-08-11,14676,504,39,Aug
23,Data Analyst Job-Ready Checklist: Know Where You Stand! 🚀🚀,2023-08-04,42059,1890,106,Aug
24,Data Analyst at FORD after 7 years in Mechanical Engineering,2023-08-01,12912,346,16,Aug
25,SQL Tutorial For Beginners | MySQL Tutorial,2023-07-29,22711,624,60,Jul
26,Business Math & Statistics Using Excel For Data Analysts and Data Scientists,2023-07-21,26572,792,26,Jul
27,How to use ChatGPT on your data - End to End Project | OpenAI Function Calling For Beginners,2023-07-12,19099,512,39,Jul
28,OpenAI Api Crash Course For Beginners | Financial Data Extraction Tool Using OpenAI API,2023-07-05,21801,643,32,Jul
29,LangChain Crash Course For Beginners | LangChain Tutorial,2023-06-30,54876,1843,105,Jun
30,End-to-End NLP Project | Build a Chatbot in Dialogflow | NLP Tutorial | S3 E2,2023-06-23,59424,1449,152,Jun
31,Resume Challenge #5 Winner Announcement: Provide Insights to Telangana Government Tourism Department,2023-06-20,4543,82,5,Jun
32,Introduction to Chatbots | NLP Tutorial | S3 E1,2023-06-16,8856,324,23,Jun
33,How He Grew His Business 3X Using Data Analytics | Mechanical Engineer to Data Analyst,2023-06-01,11027,280,13,Jun
34,Know this before you start learning any technology 🚀,2023-05-27,12653,723,3,May
35,Hacks for Moms With a Career Break to Become a Data Analyst [Unfiltered Process],2023-05-25,13475,437,50,May
36,Will AI Replace Data Analyst Jobs?,2023-05-20,63320,1667,163,May
37,"ChatGPT vs BARD, Which is better?",2023-05-17,13580,330,38,May
38,Watch this if you have a CAREER GAP,2023-05-16,17433,1340,39,May
39,5 Ways to Learn Data Analytics By Solving Real-Life Problems,2023-05-13,16799,486,28,May
40,Static Resumes Are Dying...,2023-05-10,22749,1234,14,May
41,Codebasics Data Analyst Bootcamp is Now LIVE 🔥,2023-04-27,26430,642,289,Apr
42,Is Python Really Needed For a Data Analyst Job?,2023-04-22,27739,1078,53,Apr
43,5 Ways To Get a JOB in the USA from India,2023-04-18,72985,2358,80,Apr
44,Resume Challenge #4 Winner Announcement: Provide Insights to Management in Consumer Goods Domain,2023-03-28,3273,95,4,Mar
45,B.Com to Data Analytics Transition,2023-03-18,11692,395,41,Mar
46,GPT-4 Demo | GPT3 vs GPT4,2023-03-15,122778,1452,145,Mar
47,What is STAR schema | Star vs Snowflake Schema | Fact vs Dimension Table,2023-02-16,39007,1863,68,Feb
48,How Omdena helped her get a Data Scientist job!,2023-02-11,8517,337,29,Feb
49,Team Codebasics UNITED 🔥🎇,2023-02-08,21147,1235,23,Feb
50,Can I learn data science if I am more than 30?,2023-02-07,11834,687,96,Feb
51,How Data Analysts Build Dashboard in Real Time? | Revenue Insights | Hospitality Domain,2023-02-04,176627,5086,167,Feb
52,These folks were HIRED as Data Analysts without an interview!,2023-01-28,29868,857,38,Jan
53,Do people really get a Job via Job guarantee programs?,2023-01-24,19842,474,130,Jan
54,5 data analyst projects to land a job at 0 $ | All Materials Included,2023-01-21,98869,3976,96,Jan
55,Resume Challenge #3 Winner Announcement: Insights to the Executive Team in the Telecom Domain,2023-01-13,3031,82,1,Jan
56,Data Science Roadmap 2023 | Learn Data Science Skills in 6 Months,2023-01-12,334445,16565,624,Jan
57,B Com to Software Developer Transition,2023-01-10,7097,300,52,Jan
58,"Codebasics Live Data Quiz | 6 Jan, 7.30 pm IST, 2023",2023-01-06,3464,144,15,Jan
59,SQL Job Options | Career Paths After Learning SQL,2023-01-05,21663,624,40,Jan
60,Data Analyst Roadmap 2023 | Learn data analytics skills in 3 months,2023-01-02,280924,10490,336,Jan
61,5 Unique Python Project Ideas for Your Resume | Python Projects for Beginners to Advanced,2022-12-28,63349,2199,52,Dec
62,Which jobs are secure against ChatGPT breakthrough? 🙄,2022-12-23,23430,865,101,Dec
63,Top 8 Python Libraries You Must Know In 2023 For Data Science | Python Modules for Data Science,2022-12-22,36670,1272,40,Dec
64,"End To End Cricket Data Analytics Project Using Web Scraping, Python, Pandas and Power BI",2022-12-16,287159,7425,324,Dec
65,7 Job Options After Learning Python | Python Career Opportunities,2022-12-09,56040,1644,70,Dec
66,Codebasics Reached 700K Subscribers Mark. Thank You All 🙏,2022-12-07,8592,459,17,Dec
67,How important are Excel skills for a Data Career?,2022-11-30,16429,834,13,Nov
68,5 Ways SQL is Used In The Data Industry,2022-11-26,14376,427,15,Nov
